Time(s),Input(v),Output(v),Output(m)
0,2.552,0,0
0.1,2.552,0.001,0.001
0.2,2.552,0.003,0.004
0.3,2.552,0.006,0.008
0.4,2.542,0.01,0.014
0.5,2.532,0.015,0.02
0.6,2.532,0.021,0.027
0.7,2.522,0.027,0.035
0.8,2.522,0.034,0.044
0.9,2.522,0.04,0.052
1,2.522,0.048,0.062
1.1,2.522,0.055,0.072
1.2,2.532,0.063,0.082
1.3,2.532,0.072,0.093
1.4,2.532,0.081,0.105
1.5,2.522,0.09,0.117
1.6,2.532,0.1,0.13
1.7,2.522,0.111,0.144
1.8,2.522,0.122,0.158
1.9,2.522,0.133,0.173
2,2.522,0.144,0.188
2.1,2.522,0.156,0.203
2.2,2.522,0.168,0.219
2.3,2.532,0.181,0.235
2.4,2.522,0.194,0.251
2.5,2.522,0.207,0.269
2.6,2.522,0.22,0.286
2.7,2.522,0.234,0.304
2.8,2.532,0.248,0.322
2.9,2.522,0.263,0.341
3,2.522,0.278,0.361
3.1,2.522,0.293,0.38
3.2,2.522,0.308,0.4
3.3,2.522,0.324,0.42
3.4,2.522,0.34,0.441
3.5,2.522,0.356,0.462
3.6,2.522,0.372,0.484
3.7,2.522,0.389,0.505
3.8,2.522,0.406,0.527
3.9,2.512,0.423,0.55
4,2.522,0.44,0.572
4.1,2.522,0.458,0.595
4.2,2.522,0.476,0.618
4.3,2.522,0.494,0.641
4.4,2.532,0.512,0.665
4.5,2.512,0.531,0.689
4.6,2.522,0.549,0.713
4.7,2.522,0.568,0.738
4.8,2.522,0.587,0.763
4.9,2.512,0.607,0.788
5,2.522,0.626,0.813
5.1,2.522,0.646,0.839
5.2,2.522,0.666,0.864
5.3,2.522,0.686,0.89
5.4,2.522,0.706,0.917
5.5,2.512,0.726,0.943
5.6,2.522,0.747,0.97
5.7,2.522,0.768,0.997
5.8,2.522,0.788,1.024
5.9,2.522,0.81,1.051
6,2.512,0.831,1.079
6.1,2.522,0.852,1.107
6.2,2.522,0.874,1.135
6.3,2.522,0.895,1.163
6.4,2.522,0.917,1.191
6.5,2.522,0.939,1.22
6.6,2.522,0.961,1.249
6.7,2.522,0.984,1.278
6.8,2.512,1.007,1.307
6.9,2.522,1.029,1.337
7,2.522,1.052,1.366
7.1,2.522,1.075,1.396
7.2,2.522,1.098,1.426
7.3,2.522,1.121,1.456
7.4,2.522,1.145,1.487
7.5,2.512,1.169,1.518
7.6,2.512,1.192,1.548
7.7,2.512,1.216,1.579
7.8,2.522,1.239,1.61
7.9,2.522,1.263,1.641
8,2.512,1.287,1.672
8.1,2.522,1.311,1.703
8.2,2.522,1.335,1.734
8.3,2.522,1.359,1.765
8.4,2.522,1.384,1.797
8.5,2.522,1.408,1.829
8.6,2.522,1.433,1.861
8.7,2.512,1.458,1.893
8.8,2.512,1.483,1.926
8.9,2.512,1.507,1.958
9,2.512,1.532,1.99
9.1,2.512,1.557,2.022
9.2,2.512,1.582,2.054
9.3,2.522,1.606,2.086
9.4,2.512,1.631,2.118
9.5,2.512,1.656,2.15
9.6,2.522,1.68,2.182
9.7,2.512,1.705,2.214
9.8,2.512,1.73,2.247
9.9,2.522,1.755,2.279
10,2.512,1.78,2.311
10.1,2.512,1.804,2.343
10.2,2.522,1.829,2.376
10.3,2.512,1.854,2.408
10.4,2.512,1.879,2.441
10.5,2.512,1.904,2.473
10.6,2.512,1.929,2.505
10.7,2.512,1.954,2.537
10.8,2.512,1.978,2.569
10.9,2.512,2.003,2.602
11,2.512,2.028,2.634
11.1,2.512,2.052,2.666
11.2,2.512,2.077,2.697
11.3,2.512,2.102,2.729
11.4,2.512,2.126,2.761
11.5,2.512,2.151,2.793
11.6,2.512,2.175,2.825
11.7,2.512,2.199,2.856
11.8,2.512,2.224,2.888
11.9,2.512,2.248,2.919
12,2.512,2.272,2.951
12.1,2.512,2.296,2.982
12.2,2.512,2.321,3.014
12.3,2.512,2.345,3.045
12.4,2.512,2.369,3.077
12.5,2.512,2.393,3.108
12.6,2.512,2.417,3.139
12.7,2.512,2.441,3.17
12.8,2.512,2.465,3.201
12.9,2.512,2.489,3.232
13,2.512,2.513,3.263
13.1,2.512,2.537,3.295
13.2,2.512,2.561,3.325
13.3,2.512,2.584,3.356
13.4,2.512,2.608,3.387
13.5,2.512,2.632,3.418
13.6,2.512,2.656,3.449
13.7,2.512,2.679,3.48
13.8,2.512,2.703,3.51
13.9,2.512,2.727,3.541
14,2.512,2.75,3.572
14.1,2.512,2.774,3.602
14.2,2.512,2.797,3.633
14.3,2.512,2.821,3.663
14.4,2.512,2.844,3.694
14.5,2.512,2.868,3.724
14.6,2.503,2.891,3.755
14.7,2.512,2.914,3.785
14.8,2.512,2.938,3.815
14.9,2.512,2.961,3.845
15,2.512,2.984,3.875
15.1,2.512,3.007,3.905
15.2,2.512,3.03,3.935
15.3,2.512,3.053,3.965
15.4,2.503,3.076,3.995
15.5,2.512,3.099,4.025
15.6,2.512,3.122,4.054
15.7,2.503,3.144,4.084
15.8,2.512,3.167,4.113
15.9,2.512,3.19,4.142
16,2.512,3.212,4.172
16.1,2.503,3.235,4.201
16.2,2.512,3.257,4.23
16.3,2.512,3.279,4.259
16.4,2.512,3.301,4.288
16.5,2.512,3.324,4.316
16.6,2.503,3.346,4.345
16.7,2.512,3.368,4.374
16.8,2.503,3.39,4.402
16.9,2.512,3.412,4.431
17,2.512,3.433,4.459
17.1,2.512,3.455,4.487
17.2,2.503,3.477,4.516
17.3,2.503,3.499,4.544
17.4,2.512,3.52,4.571
17.5,2.512,3.541,4.599
17.6,2.503,3.563,4.627
17.7,2.512,3.584,4.654
17.8,2.503,3.605,4.682
17.9,2.503,3.626,4.709
18,2.512,3.647,4.736
18.1,2.512,3.667,4.763
18.2,2.503,3.688,4.79
18.3,2.503,3.709,4.817
18.4,2.512,3.729,4.843
18.5,2.503,3.75,4.87
18.6,2.503,3.77,4.896
18.7,2.503,3.79,4.922
18.8,2.503,3.81,4.947
18.9,2.503,3.829,4.973
19,2.503,3.849,4.998
19.1,2.503,3.868,5.023
19.2,2.503,3.887,5.048
19.3,2.512,3.906,5.073
19.4,2.503,3.925,5.097
19.5,2.503,3.944,5.122
19.6,2.503,3.962,5.146
19.7,2.503,3.981,5.17
19.8,2.503,3.999,5.193
19.9,2.512,4.017,5.217
20,2.503,4.035,5.24
20.1,2.503,4.053,5.264
20.2,2.503,4.071,5.287
20.3,2.512,4.089,5.31
20.4,2.503,4.106,5.333
20.5,2.503,4.124,5.356
20.6,2.503,4.141,5.378
20.7,2.503,4.158,5.4
20.8,2.503,4.175,5.423
20.9,2.503,4.192,5.445
21,2.503,4.209,5.466
21.1,2.503,4.226,5.488
21.2,2.503,4.242,5.509
21.3,2.503,4.258,5.531
21.4,2.503,4.275,5.552
21.5,2.503,4.291,5.572
21.6,2.503,4.307,5.593
21.7,2.503,4.322,5.613
21.8,2.503,4.338,5.634
21.9,2.503,4.354,5.654
22,2.503,4.369,5.674
22.1,2.503,4.384,5.694
22.2,2.503,4.399,5.713
22.3,2.503,4.414,5.733
22.4,2.503,4.429,5.752
22.5,2.503,4.444,5.771
22.6,2.493,4.458,5.79
22.7,2.503,4.473,5.809
22.8,2.493,4.487,5.827
22.9,2.503,4.501,5.845
23,2.503,4.514,5.863
23.1,2.503,4.528,5.88
23.2,2.503,4.541,5.898
23.3,2.503,4.555,5.915
23.4,2.503,4.568,5.933
23.5,2.503,4.581,5.95
23.6,2.503,4.594,5.967
23.7,2.503,4.607,5.984
23.8,2.503,4.62,6
23.9,2.503,4.633,6.017
24,2.503,4.646,6.033
24.1,2.503,4.658,6.05
24.2,2.503,4.671,6.066
24.3,2.503,4.683,6.082
24.4,2.503,4.695,6.098
24.5,2.503,4.708,6.114
24.6,2.503,4.72,6.13
24.7,2.503,4.732,6.145
24.8,2.503,4.744,6.161
24.9,2.503,4.755,6.176
25,2.503,4.767,6.191
25.1,2.503,4.779,6.206
25.2,2.503,4.79,6.221
25.3,2.503,4.802,6.236
25.4,2.493,4.813,6.251
25.5,2.493,4.824,6.265
25.6,2.493,4.835,6.28
25.7,2.493,4.846,6.293
25.8,2.493,4.856,6.307
25.9,2.503,4.866,6.32
26,2.493,4.876,6.332
26.1,2.503,4.886,6.345
26.2,2.503,4.895,6.358
26.3,2.493,4.905,6.37
26.4,2.503,4.914,6.382
26.5,2.503,4.923,6.394
26.6,2.503,4.933,6.406
26.7,2.493,4.942,6.418
26.8,2.503,4.951,6.429
26.9,2.493,4.959,6.441
27,2.493,4.968,6.452
27.1,2.493,4.976,6.463
27.2,2.503,4.984,6.473
27.3,2.493,4.992,6.483
27.4,2.503,5,6.494
27.5,2.503,5.008,6.504
27.6,2.503,5.015,6.514
27.7,2.503,5.023,6.523
27.8,2.503,5.031,6.533
27.9,2.503,5.038,6.543
28,2.503,5.046,6.553
28.1,2.493,5.053,6.563
28.2,2.493,5.061,6.572
28.3,2.503,5.068,6.581
28.4,2.503,5.075,6.59
28.5,2.503,5.082,6.599
28.6,2.503,5.088,6.608
28.7,2.493,5.095,6.617
28.8,2.493,5.102,6.626
28.9,2.493,5.109,6.634
29,2.503,5.115,6.643
29.1,2.493,5.121,6.651
29.2,2.503,5.127,6.658
29.3,2.503,5.133,6.666
29.4,2.493,5.139,6.674
29.5,2.503,5.145,6.681
29.6,2.503,5.15,6.689
29.7,2.503,5.156,6.696
29.8,2.493,5.162,6.703
29.9,2.493,5.167,6.71
30,2.493,5.172,6.717
30.1,2.503,5.177,6.724
30.2,2.493,5.182,6.73
30.3,2.493,5.187,6.737
30.4,2.493,5.192,6.743
30.5,2.493,5.196,6.748
30.6,2.503,5.2,6.754
30.7,2.493,5.205,6.759
30.8,2.493,5.209,6.765
30.9,2.493,5.213,6.77
31,2.493,5.216,6.774
31.1,2.493,5.22,6.779
31.2,2.493,5.223,6.783
31.3,2.493,5.226,6.787
31.4,2.493,5.229,6.791
31.5,2.493,5.232,6.794
31.6,2.493,5.234,6.797
31.7,2.493,5.236,6.8
31.8,2.493,5.239,6.803
31.9,2.493,5.241,6.806
32,2.493,5.242,6.808
32.1,2.493,5.244,6.81
32.2,2.503,5.246,6.812
32.3,2.493,5.247,6.814
32.4,2.493,5.248,6.816
32.5,2.503,5.25,6.818
32.6,2.493,5.251,6.819
32.7,2.493,5.252,6.821
32.8,2.493,5.253,6.822
32.9,2.503,5.254,6.823
33,2.493,5.254,6.824
33.1,2.503,5.255,6.825
33.2,2.503,5.256,6.826
33.3,2.493,5.256,6.826
33.4,2.493,5.257,6.827
33.5,2.493,5.257,6.828
33.6,2.493,5.258,6.828
33.7,2.493,5.258,6.828
33.8,2.493,5.258,6.828
33.9,2.493,5.258,6.828
34,2.493,5.257,6.828
34.1,2.493,5.257,6.827
34.2,2.503,5.256,6.826
34.3,2.493,5.256,6.825
34.4,2.503,5.255,6.825
34.5,2.503,5.254,6.824
34.6,2.493,5.254,6.823
34.7,2.493,5.253,6.822
34.8,2.493,5.252,6.821
34.9,2.493,5.251,6.82
35,2.493,5.25,6.818
35.1,2.493,5.249,6.817
35.2,2.493,5.247,6.815
35.3,2.503,5.246,6.813
35.4,2.493,5.244,6.811
35.5,2.493,5.243,6.809
35.6,2.503,5.241,6.807
35.7,2.493,5.239,6.805
35.8,2.503,5.238,6.802
35.9,2.493,5.236,6.8
36,2.493,5.234,6.798
36.1,2.503,5.232,6.795
36.2,2.493,5.23,6.793
36.3,2.493,5.228,6.79
36.4,2.493,5.226,6.787
36.5,2.493,5.224,6.785
36.6,2.493,5.222,6.781
36.7,2.493,5.219,6.778
36.8,2.493,5.217,6.775
36.9,2.493,5.214,6.771
37,2.493,5.211,6.768
37.1,2.493,5.208,6.764
37.2,2.493,5.205,6.76
37.3,2.493,5.202,6.756
37.4,2.503,5.199,6.752
37.5,2.493,5.196,6.747
37.6,2.493,5.192,6.743
37.7,2.493,5.189,6.739
37.8,2.503,5.185,6.734
37.9,2.493,5.182,6.73
38,2.493,5.178,6.725
38.1,2.493,5.175,6.721
