Time(s),Input(v),Output(v),Output(m)
0,2.552,0,0
0.1,2.561,0.001,0.001
0.2,2.561,0.003,0.004
0.3,2.561,0.007,0.009
0.4,2.552,0.012,0.015
0.5,2.552,0.017,0.022
0.6,2.552,0.024,0.031
0.7,2.532,0.032,0.041
0.8,2.542,0.04,0.052
0.9,2.542,0.049,0.064
1,2.532,0.059,0.076
1.1,2.532,0.069,0.09
1.2,2.532,0.08,0.104
1.3,2.532,0.091,0.118
1.4,2.532,0.103,0.134
1.5,2.532,0.115,0.15
1.6,2.532,0.128,0.167
1.7,2.532,0.142,0.184
1.8,2.532,0.155,0.202
1.9,2.532,0.17,0.221
2,2.532,0.185,0.24
2.1,2.532,0.2,0.26
2.2,2.532,0.216,0.28
2.3,2.532,0.232,0.301
2.4,2.532,0.249,0.323
2.5,2.532,0.266,0.345
2.6,2.532,0.283,0.368
2.7,2.522,0.301,0.392
2.8,2.522,0.32,0.415
2.9,2.532,0.338,0.439
3,2.522,0.357,0.464
3.1,2.532,0.376,0.489
3.2,2.532,0.396,0.514
3.3,2.532,0.416,0.54
3.4,2.532,0.436,0.567
3.5,2.522,0.457,0.594
3.6,2.522,0.478,0.621
3.7,2.522,0.5,0.649
3.8,2.522,0.521,0.677
3.9,2.532,0.543,0.705
4,2.522,0.565,0.733
4.1,2.532,0.587,0.762
4.2,2.532,0.609,0.792
4.3,2.522,0.632,0.821
4.4,2.522,0.656,0.851
4.5,2.522,0.679,0.882
4.6,2.522,0.703,0.912
4.7,2.532,0.726,0.943
4.8,2.522,0.75,0.974
4.9,2.522,0.774,1.006
5,2.522,0.799,1.037
5.1,2.522,0.823,1.069
5.2,2.522,0.848,1.101
5.3,2.532,0.873,1.134
5.4,2.522,0.898,1.167
5.5,2.532,0.924,1.199
5.6,2.532,0.949,1.233
5.7,2.532,0.975,1.267
5.8,2.522,1.002,1.301
5.9,2.522,1.028,1.335
6,2.522,1.055,1.37
6.1,2.522,1.082,1.405
6.2,2.522,1.109,1.44
6.3,2.522,1.136,1.475
6.4,2.522,1.163,1.51
6.5,2.532,1.19,1.546
6.6,2.522,1.218,1.582
6.7,2.522,1.246,1.618
6.8,2.522,1.274,1.654
6.9,2.522,1.302,1.691
7,2.512,1.33,1.727
7.1,2.522,1.358,1.764
7.2,2.522,1.386,1.8
7.3,2.522,1.414,1.837
7.4,2.522,1.443,1.874
7.5,2.522,1.471,1.911
7.6,2.512,1.5,1.948
7.7,2.522,1.529,1.985
7.8,2.522,1.557,2.022
7.9,2.522,1.586,2.06
8,2.522,1.615,2.097
8.1,2.522,1.644,2.135
8.2,2.522,1.673,2.173
8.3,2.522,1.702,2.21
8.4,2.512,1.731,2.249
8.5,2.522,1.761,2.286
8.6,2.512,1.79,2.324
8.7,2.512,1.819,2.362
8.8,2.512,1.848,2.4
8.9,2.522,1.877,2.438
9,2.512,1.906,2.476
9.1,2.512,1.935,2.513
9.2,2.512,1.964,2.551
9.3,2.512,1.993,2.588
9.4,2.512,2.022,2.626
9.5,2.512,2.05,2.663
9.6,2.512,2.079,2.7
9.7,2.512,2.108,2.737
9.8,2.522,2.136,2.774
9.9,2.512,2.164,2.811
10,2.512,2.193,2.848
10.1,2.512,2.221,2.885
10.2,2.522,2.249,2.921
10.3,2.512,2.278,2.958
10.4,2.512,2.306,2.995
10.5,2.512,2.334,3.031
10.6,2.522,2.362,3.068
10.7,2.512,2.39,3.105
10.8,2.512,2.419,3.141
10.9,2.512,2.447,3.177
11,2.512,2.475,3.214
11.1,2.512,2.502,3.25
11.2,2.522,2.53,3.286
11.3,2.512,2.558,3.322
11.4,2.512,2.586,3.359
11.5,2.512,2.614,3.395
11.6,2.512,2.642,3.431
11.7,2.512,2.669,3.466
11.8,2.512,2.697,3.502
11.9,2.512,2.724,3.538
12,2.512,2.751,3.573
12.1,2.512,2.779,3.609
12.2,2.512,2.806,3.644
12.3,2.512,2.833,3.679
12.4,2.512,2.86,3.715
12.5,2.512,2.887,3.75
12.6,2.512,2.914,3.785
12.7,2.512,2.941,3.82
12.8,2.512,2.968,3.854
12.9,2.512,2.995,3.889
13,2.512,3.021,3.924
13.1,2.512,3.048,3.958
13.2,2.512,3.074,3.993
13.3,2.512,3.101,4.027
13.4,2.512,3.127,4.061
13.5,2.512,3.154,4.096
13.6,2.512,3.18,4.13
13.7,2.512,3.206,4.164
13.8,2.512,3.232,4.198
13.9,2.503,3.258,4.232
14,2.503,3.284,4.265
14.1,2.512,3.31,4.298
14.2,2.512,3.335,4.332
14.3,2.512,3.361,4.365
14.4,2.512,3.386,4.398
14.5,2.512,3.412,4.431
14.6,2.512,3.437,4.464
14.7,2.512,3.462,4.496
14.8,2.512,3.487,4.529
14.9,2.512,3.513,4.562
15,2.512,3.538,4.594
15.1,2.512,3.563,4.627
15.2,2.512,3.588,4.66
15.3,2.512,3.613,4.692
15.4,2.512,3.638,4.724
15.5,2.503,3.663,4.757
15.6,2.503,3.687,4.789
15.7,2.512,3.712,4.82
15.8,2.512,3.736,4.852
15.9,2.512,3.76,4.884
16,2.512,3.785,4.915
16.1,2.512,3.809,4.947
16.2,2.512,3.833,4.978
16.3,2.512,3.857,5.01
16.4,2.503,3.882,5.041
16.5,2.512,3.905,5.072
16.6,2.503,3.929,5.103
16.7,2.503,3.953,5.134
16.8,2.503,3.976,5.164
16.9,2.512,4,5.194
17,2.503,4.023,5.224
17.1,2.503,4.046,5.254
17.2,2.512,4.068,5.284
17.3,2.503,4.091,5.313
17.4,2.503,4.114,5.342
17.5,2.503,4.136,5.371
17.6,2.512,4.158,5.4
17.7,2.503,4.18,5.428
17.8,2.503,4.202,5.457
17.9,2.503,4.223,5.485
18,2.512,4.245,5.513
18.1,2.503,4.266,5.54
18.2,2.503,4.287,5.568
18.3,2.503,4.308,5.595
18.4,2.512,4.329,5.622
18.5,2.503,4.35,5.649
18.6,2.503,4.371,5.676
18.7,2.503,4.391,5.703
18.8,2.503,4.411,5.729
18.9,2.503,4.431,5.755
19,2.503,4.451,5.781
19.1,2.503,4.471,5.806
19.2,2.503,4.49,5.832
19.3,2.503,4.51,5.857
19.4,2.503,4.529,5.881
19.5,2.503,4.548,5.906
19.6,2.503,4.566,5.93
19.7,2.503,4.585,5.955
19.8,2.503,4.603,5.979
19.9,2.503,4.622,6.002
20,2.503,4.64,6.026
20.1,2.503,4.658,6.049
20.2,2.503,4.676,6.072
20.3,2.503,4.693,6.095
20.4,2.503,4.711,6.118
20.5,2.503,4.728,6.14
20.6,2.503,4.745,6.162
20.7,2.503,4.762,6.185
20.8,2.503,4.779,6.206
20.9,2.493,4.796,6.228
21,2.503,4.812,6.249
21.1,2.503,4.828,6.27
21.2,2.503,4.844,6.291
21.3,2.503,4.86,6.312
21.4,2.493,4.876,6.332
21.5,2.503,4.891,6.352
21.6,2.503,4.907,6.372
21.7,2.503,4.922,6.392
21.8,2.503,4.937,6.412
21.9,2.503,4.952,6.431
22,2.503,4.967,6.45
22.1,2.503,4.981,6.469
22.2,2.503,4.996,6.488
22.3,2.503,5.01,6.507
22.4,2.503,5.025,6.526
22.5,2.503,5.039,6.544
22.6,2.503,5.053,6.562
22.7,2.503,5.067,6.58
22.8,2.503,5.081,6.598
22.9,2.503,5.095,6.616
23,2.503,5.108,6.634
23.1,2.503,5.122,6.652
23.2,2.493,5.135,6.669
23.3,2.503,5.148,6.686
23.4,2.493,5.161,6.703
23.5,2.493,5.174,6.719
23.6,2.503,5.186,6.735
23.7,2.503,5.199,6.751
23.8,2.503,5.211,6.767
23.9,2.503,5.223,6.783
24,2.493,5.235,6.799
24.1,2.493,5.247,6.814
24.2,2.503,5.258,6.829
24.3,2.493,5.269,6.843
24.4,2.503,5.281,6.858
24.5,2.493,5.292,6.872
